FOVId,ge_wellID,well_position,fov_path,microscope,image_date,probe488,probe546,probe647,plate_name,cell_line,cell_age,notes
1003,100,B5,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B5 [144] Montage - 23,3i,2019-08-07,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18,
1004,100,B5,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B5 [144] Montage - 24,3i,2019-08-07,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18,
1005,100,B5,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B5 [144] Montage - 25,3i,2019-08-07,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18,
1006,100,B5,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B5 [144] Montage - 26,3i,2019-08-07,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18,
1007,100,B5,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B5 [144] Montage - 27,3i,2019-08-07,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18,
1008,100,B5,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B5 [144] Montage - 28,3i,2019-08-07,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18,
1009,100,B5,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B5 [144] Montage - 29,3i,2019-08-07,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18,
1010,100,B5,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B5 [144] Montage - 3,3i,2019-08-07,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18,
1011,100,B5,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B5 [144] Montage - 30,3i,2019-08-07,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18,
1012,100,B5,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B5 [144] Montage - 4,3i,2019-08-07,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18,
1013,100,B5,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B5 [144] Montage - 5,3i,2019-08-07,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18,
1014,100,B5,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B5 [144] Montage - 6,3i,2019-08-07,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18,
1015,100,B5,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B5 [144] Montage - 7,3i,2019-08-07,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18,
1016,100,B5,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B5 [144] Montage - 8,3i,2019-08-07,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18,
1017,100,B5,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B5 [144] Montage - 9,3i,2019-08-07,,ATP2A2-B1,H19-B3,5500000013,AICS-75,18,
1018,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 1,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1019,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 10,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1020,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 11,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1021,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 12,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1022,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 13,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1023,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 14,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1024,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 15,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1025,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 16,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1026,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 17,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1027,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 18,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1028,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 19,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1029,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 2,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1030,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 20,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1031,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 21,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1032,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 22,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1033,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 23,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1034,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 24,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1035,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 25,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1036,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 26,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1037,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 27,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1038,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 28,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1039,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 29,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1040,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 3,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1041,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 30,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1042,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 4,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1043,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 5,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1044,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 6,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1045,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 7,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1046,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 8,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1047,101,C2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C2 [144] Montage - 9,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
1048,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 1,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1049,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 10,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1050,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 11,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1051,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 12,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1052,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 13,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1053,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 14,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1054,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 15,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1055,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 16,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1056,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 17,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1057,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 18,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1058,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 19,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1059,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 2,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1060,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 20,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1061,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 21,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1062,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 22,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1063,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 23,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1064,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 24,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1065,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 25,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1066,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 26,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1067,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 27,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1068,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 28,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1069,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 29,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1070,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 3,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1071,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 30,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1072,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 4,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1073,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 5,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1074,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 6,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1075,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 7,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1076,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 8,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
1077,102,C3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C3 [144] Montage - 9,3i,2019-08-07,,MYH6-B1,MYH7-B4,5500000013,AICS-75,18,
