fov_path,Microscope,channel488,channel546,channel647,plate_name,Cell line,Cell age
/allen/aics/assay-dev/MicroscopyData/Melissa/2020/20200107/ometiff_exports/20200107_M01_001_Capture 2 - Capture 1 - B2 [144] Montage - 32,3i1,,NKX2-5-B3,CNTN5-B5,5500000172,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2020/20200107/ometiff_exports/20200107_M01_001_Capture 2 - Capture 1 - B2 [144] Montage - 33,3i1,,NKX2-5-B3,CNTN5-B5,5500000172,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2020/20200107/ometiff_exports/20200107_M01_001_Capture 2 - Capture 1 - B2 [144] Montage - 34,3i1,,NKX2-5-B3,CNTN5-B5,5500000172,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2020/20200107/ometiff_exports/20200107_M01_001_Capture 2 - Capture 1 - B2 [144] Montage - 35,3i1,,NKX2-5-B3,CNTN5-B5,5500000172,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2020/20200107/ometiff_exports/20200107_M01_001_Capture 2 - Capture 1 - B2 [144] Montage - 4,3i1,,NKX2-5-B3,CNTN5-B5,5500000172,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2020/20200107/ometiff_exports/20200107_M01_001_Capture 2 - Capture 1 - B2 [144] Montage - 5,3i1,,NKX2-5-B3,CNTN5-B5,5500000172,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2020/20200107/ometiff_exports/20200107_M01_001_Capture 2 - Capture 1 - B2 [144] Montage - 6,3i1,,NKX2-5-B3,CNTN5-B5,5500000172,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2020/20200107/ometiff_exports/20200107_M01_001_Capture 2 - Capture 1 - B2 [144] Montage - 7,3i1,,NKX2-5-B3,CNTN5-B5,5500000172,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2020/20200107/ometiff_exports/20200107_M01_001_Capture 2 - Capture 1 - B2 [144] Montage - 8,3i1,,NKX2-5-B3,CNTN5-B5,5500000172,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2020/20200107/ometiff_exports/20200107_M01_001_Capture 2 - Capture 1 - B2 [144] Montage - 9,3i1,,NKX2-5-B3,CNTN5-B5,5500000172,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2020/20200107/ometiff_exports/20200107_M01_001_Capture 2 - Capture 1 - B3 [144] Montage - 1,3i1,,MEF2C-B1,MYL7-B5,5500000172,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2020/20200107/ometiff_exports/20200107_M01_001_Capture 2 - Capture 1 - B3 [144] Montage - 10,3i1,,MEF2C-B1,MYL7-B5,5500000172,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2020/20200107/ometiff_exports/20200107_M01_001_Capture 2 - Capture 1 - B3 [144] Montage - 11,3i1,,MEF2C-B1,MYL7-B5,5500000172,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2020/20200107/ometiff_exports/20200107_M01_001_Capture 2 - Capture 1 - B3 [144] Montage - 12,3i1,,MEF2C-B1,MYL7-B5,5500000172,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2020/20200107/ometiff_exports/20200107_M01_001_Capture 2 - Capture 1 - B3 [144] Montage - 13,3i1,,MEF2C-B1,MYL7-B5,5500000172,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2020/20200107/ometiff_exports/20200107_M01_001_Capture 2 - Capture 1 - B3 [144] Montage - 14,3i1,,MEF2C-B1,MYL7-B5,5500000172,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2020/20200107/ometiff_exports/20200107_M01_001_Capture 2 - Capture 1 - B3 [144] Montage - 15,3i1,,MEF2C-B1,MYL7-B5,5500000172,AICS-75,18
/allen/aics/assay-dev/MicroscopyData/Melissa/2020/20200107/ometiff_exports/20200107_M01_001_Capture 2 - Capture 1 - B3 [144] Montage - 16,3i1,,MEF2C-B1,MYL7-B5,5500000172,AICS-75,18
