cell_num,file_name,mh_score,kg_score
8,5500000014_63X_20190816_S1_P7_B3_annotations_corrected.Actn2_cell8.jpg,4,4
9,5500000014_63X_20190816_S1_P7_B3_annotations_corrected.Actn2_cell9.jpg,4,4
10,5500000014_63X_20190816_S1_P7_B3_annotations_corrected.Actn2_cell10.jpg,3,5
11,5500000014_63X_20190816_S1_P7_B3_annotations_corrected.Actn2_cell11.jpg,4,4
12,5500000014_63X_20190816_S1_P7_B3_annotations_corrected.Actn2_cell12.jpg,3,3
13,5500000014_63X_20190816_S1_P7_B3_annotations_corrected.Actn2_cell13.jpg,-1,-1
14,5500000014_63X_20190816_S1_P7_B3_annotations_corrected.Actn2_cell14.jpg,4,4
15,5500000014_63X_20190816_S1_P7_B3_annotations_corrected.Actn2_cell15.jpg,4,3
16,5500000014_63X_20190816_S1_P7_B3_annotations_corrected.Actn2_cell16.jpg,3,4
17,5500000014_63X_20190816_S1_P7_B3_annotations_corrected.Actn2_cell17.jpg,3,4
18,5500000014_63X_20190816_S1_P7_B3_annotations_corrected.Actn2_cell18.jpg,3,3
1,5500000014_63X_20190816_S1_P7_B4_annotations_corrected.Actn2_cell1.jpg,4,4
2,5500000014_63X_20190816_S1_P7_B4_annotations_corrected.Actn2_cell2.jpg,4,4
3,5500000014_63X_20190816_S1_P7_B4_annotations_corrected.Actn2_cell3.jpg,3,3
4,5500000014_63X_20190816_S1_P7_B4_annotations_corrected.Actn2_cell4.jpg,3,3
5,5500000014_63X_20190816_S1_P7_B4_annotations_corrected.Actn2_cell5.jpg,4,4
6,5500000014_63X_20190816_S1_P7_B4_annotations_corrected.Actn2_cell6.jpg,4,4
7,5500000014_63X_20190816_S1_P7_B4_annotations_corrected.Actn2_cell7.jpg,3,4
8,5500000014_63X_20190816_S1_P7_B4_annotations_corrected.Actn2_cell8.jpg,4,4
9,5500000014_63X_20190816_S1_P7_B4_annotations_corrected.Actn2_cell9.jpg,4,4
10,5500000014_63X_20190816_S1_P7_B4_annotations_corrected.Actn2_cell10.jpg,4,4
11,5500000014_63X_20190816_S1_P7_B4_annotations_corrected.Actn2_cell11.jpg,5,5
1,5500000014_63X_20190816_S1_P7_B5_annotations_corrected.Actn2_cell1.jpg,3,4
2,5500000014_63X_20190816_S1_P7_B5_annotations_corrected.Actn2_cell2.jpg,4,5
