FOVId,cell_num,file_name,file_base,probe_561_loc_score,probe_638_loc_score
902,9,5500000013_63X_20190807_S1_P13_B2_annotations_corrected.Actn2_cell9.jpg,5500000013_63X_20190807_S1_P13_B2_annotations_corrected,,
902,10,5500000013_63X_20190807_S1_P13_B2_annotations_corrected.Actn2_cell10.jpg,5500000013_63X_20190807_S1_P13_B2_annotations_corrected,,
902,11,5500000013_63X_20190807_S1_P13_B2_annotations_corrected.Actn2_cell11.jpg,5500000013_63X_20190807_S1_P13_B2_annotations_corrected,,
902,12,5500000013_63X_20190807_S1_P13_B2_annotations_corrected.Actn2_cell12.jpg,5500000013_63X_20190807_S1_P13_B2_annotations_corrected,,
902,13,5500000013_63X_20190807_S1_P13_B2_annotations_corrected.Actn2_cell13.jpg,5500000013_63X_20190807_S1_P13_B2_annotations_corrected,,
902,14,5500000013_63X_20190807_S1_P13_B2_annotations_corrected.Actn2_cell14.jpg,5500000013_63X_20190807_S1_P13_B2_annotations_corrected,,
902,15,5500000013_63X_20190807_S1_P13_B2_annotations_corrected.Actn2_cell15.jpg,5500000013_63X_20190807_S1_P13_B2_annotations_corrected,,
902,16,5500000013_63X_20190807_S1_P13_B2_annotations_corrected.Actn2_cell16.jpg,5500000013_63X_20190807_S1_P13_B2_annotations_corrected,,
902,17,5500000013_63X_20190807_S1_P13_B2_annotations_corrected.Actn2_cell17.jpg,5500000013_63X_20190807_S1_P13_B2_annotations_corrected,,
902,18,5500000013_63X_20190807_S1_P13_B2_annotations_corrected.Actn2_cell18.jpg,5500000013_63X_20190807_S1_P13_B2_annotations_corrected,,
903,1,5500000013_63X_20190807_S1_P14_B2_annotations_corrected.Actn2_cell1.jpg,5500000013_63X_20190807_S1_P14_B2_annotations_corrected,,
903,2,5500000013_63X_20190807_S1_P14_B2_annotations_corrected.Actn2_cell2.jpg,5500000013_63X_20190807_S1_P14_B2_annotations_corrected,,
903,3,5500000013_63X_20190807_S1_P14_B2_annotations_corrected.Actn2_cell3.jpg,5500000013_63X_20190807_S1_P14_B2_annotations_corrected,,
903,4,5500000013_63X_20190807_S1_P14_B2_annotations_corrected.Actn2_cell4.jpg,5500000013_63X_20190807_S1_P14_B2_annotations_corrected,,
903,5,5500000013_63X_20190807_S1_P14_B2_annotations_corrected.Actn2_cell5.jpg,5500000013_63X_20190807_S1_P14_B2_annotations_corrected,,
903,6,5500000013_63X_20190807_S1_P14_B2_annotations_corrected.Actn2_cell6.jpg,5500000013_63X_20190807_S1_P14_B2_annotations_corrected,,
903,7,5500000013_63X_20190807_S1_P14_B2_annotations_corrected.Actn2_cell7.jpg,5500000013_63X_20190807_S1_P14_B2_annotations_corrected,,
903,8,5500000013_63X_20190807_S1_P14_B2_annotations_corrected.Actn2_cell8.jpg,5500000013_63X_20190807_S1_P14_B2_annotations_corrected,,
903,9,5500000013_63X_20190807_S1_P14_B2_annotations_corrected.Actn2_cell9.jpg,5500000013_63X_20190807_S1_P14_B2_annotations_corrected,,
903,10,5500000013_63X_20190807_S1_P14_B2_annotations_corrected.Actn2_cell10.jpg,5500000013_63X_20190807_S1_P14_B2_annotations_corrected,,
903,11,5500000013_63X_20190807_S1_P14_B2_annotations_corrected.Actn2_cell11.jpg,5500000013_63X_20190807_S1_P14_B2_annotations_corrected,,
903,12,5500000013_63X_20190807_S1_P14_B2_annotations_corrected.Actn2_cell12.jpg,5500000013_63X_20190807_S1_P14_B2_annotations_corrected,,
903,13,5500000013_63X_20190807_S1_P14_B2_annotations_corrected.Actn2_cell13.jpg,5500000013_63X_20190807_S1_P14_B2_annotations_corrected,,
904,1,5500000013_63X_20190807_S1_P15_B2_annotations_corrected.Actn2_cell1.jpg,5500000013_63X_20190807_S1_P15_B2_annotations_corrected,,
904,2,5500000013_63X_20190807_S1_P15_B2_annotations_corrected.Actn2_cell2.jpg,5500000013_63X_20190807_S1_P15_B2_annotations_corrected,,
904,3,5500000013_63X_20190807_S1_P15_B2_annotations_corrected.Actn2_cell3.jpg,5500000013_63X_20190807_S1_P15_B2_annotations_corrected,,
904,4,5500000013_63X_20190807_S1_P15_B2_annotations_corrected.Actn2_cell4.jpg,5500000013_63X_20190807_S1_P15_B2_annotations_corrected,,
904,5,5500000013_63X_20190807_S1_P15_B2_annotations_corrected.Actn2_cell5.jpg,5500000013_63X_20190807_S1_P15_B2_annotations_corrected,,
904,6,5500000013_63X_20190807_S1_P15_B2_annotations_corrected.Actn2_cell6.jpg,5500000013_63X_20190807_S1_P15_B2_annotations_corrected,,
904,7,5500000013_63X_20190807_S1_P15_B2_annotations_corrected.Actn2_cell7.jpg,5500000013_63X_20190807_S1_P15_B2_annotations_corrected,,
904,8,5500000013_63X_20190807_S1_P15_B2_annotations_corrected.Actn2_cell8.jpg,5500000013_63X_20190807_S1_P15_B2_annotations_corrected,,
904,9,5500000013_63X_20190807_S1_P15_B2_annotations_corrected.Actn2_cell9.jpg,5500000013_63X_20190807_S1_P15_B2_annotations_corrected,,
905,1,5500000013_63X_20190807_S1_P16_B2_annotations_corrected.Actn2_cell1.jpg,5500000013_63X_20190807_S1_P16_B2_annotations_corrected,,
905,2,5500000013_63X_20190807_S1_P16_B2_annotations_corrected.Actn2_cell2.jpg,5500000013_63X_20190807_S1_P16_B2_annotations_corrected,,
905,3,5500000013_63X_20190807_S1_P16_B2_annotations_corrected.Actn2_cell3.jpg,5500000013_63X_20190807_S1_P16_B2_annotations_corrected,,
905,4,5500000013_63X_20190807_S1_P16_B2_annotations_corrected.Actn2_cell4.jpg,5500000013_63X_20190807_S1_P16_B2_annotations_corrected,,
905,5,5500000013_63X_20190807_S1_P16_B2_annotations_corrected.Actn2_cell5.jpg,5500000013_63X_20190807_S1_P16_B2_annotations_corrected,,
905,6,5500000013_63X_20190807_S1_P16_B2_annotations_corrected.Actn2_cell6.jpg,5500000013_63X_20190807_S1_P16_B2_annotations_corrected,,
905,7,5500000013_63X_20190807_S1_P16_B2_annotations_corrected.Actn2_cell7.jpg,5500000013_63X_20190807_S1_P16_B2_annotations_corrected,,
905,8,5500000013_63X_20190807_S1_P16_B2_annotations_corrected.Actn2_cell8.jpg,5500000013_63X_20190807_S1_P16_B2_annotations_corrected,,
906,1,5500000013_63X_20190807_S1_P17_B2_annotations_corrected.Actn2_cell1.jpg,5500000013_63X_20190807_S1_P17_B2_annotations_corrected,,
906,2,5500000013_63X_20190807_S1_P17_B2_annotations_corrected.Actn2_cell2.jpg,5500000013_63X_20190807_S1_P17_B2_annotations_corrected,,
906,3,5500000013_63X_20190807_S1_P17_B2_annotations_corrected.Actn2_cell3.jpg,5500000013_63X_20190807_S1_P17_B2_annotations_corrected,,
