,cell_num,file_name,probe_561_loc_score,probe_638_loc_score
135,5,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell5.jpg,0,2
136,6,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell6.jpg,0,2
137,7,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell7.jpg,0,1
138,8,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell8.jpg,0,1
139,9,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell9.jpg,2,0
140,10,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell10.jpg,0,2
141,11,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell11.jpg,2,2
142,12,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell12.jpg,0,0
143,13,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell13.jpg,2,2
144,14,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell14.jpg,0,0
145,15,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell15.jpg,1,1
146,1,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell1.jpg,,
147,2,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell2.jpg,,
148,3,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell3.jpg,,
149,4,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell4.jpg,,
150,5,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell5.jpg,,
151,6,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell6.jpg,,
152,7,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell7.jpg,,
153,8,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell8.jpg,,
154,1,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell1.jpg,,
155,2,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell2.jpg,,
156,3,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell3.jpg,,
157,4,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell4.jpg,,
158,5,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell5.jpg,,
159,6,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell6.jpg,,
160,7,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell7.jpg,,
161,8,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell8.jpg,,
162,9,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell9.jpg,,
163,10,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell10.jpg,,
164,11,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell11.jpg,,
165,12,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell12.jpg,,
166,13,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell13.jpg,,
167,14,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell14.jpg,,
168,15,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell15.jpg,,
169,1,5500000013_63X_20190807_S1_P5_B2_annotations_corrected.Actn2_cell1.jpg,,
170,2,5500000013_63X_20190807_S1_P5_B2_annotations_corrected.Actn2_cell2.jpg,,
171,3,5500000013_63X_20190807_S1_P5_B2_annotations_corrected.Actn2_cell3.jpg,,
172,4,5500000013_63X_20190807_S1_P5_B2_annotations_corrected.Actn2_cell4.jpg,,
173,5,5500000013_63X_20190807_S1_P5_B2_annotations_corrected.Actn2_cell5.jpg,,
174,6,5500000013_63X_20190807_S1_P5_B2_annotations_corrected.Actn2_cell6.jpg,,
175,7,5500000013_63X_20190807_S1_P5_B2_annotations_corrected.Actn2_cell7.jpg,,
176,1,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell1.jpg,n,2
177,2,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell2.jpg,n,n
178,3,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell3.jpg,2,2
179,4,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell4.jpg,n,1
180,5,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell5.jpg,n,2
181,6,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell6.jpg,n,n
182,7,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell7.jpg,0,0
183,8,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell8.jpg,0,0
184,9,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell9.jpg,2,0
185,10,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell10.jpg,0,0
186,11,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell11.jpg,0,0
187,12,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell12.jpg,0,0
188,1,5500000013_63X_20190807_S1_P5_B4_annotations_corrected.Actn2_cell1.jpg,,
189,2,5500000013_63X_20190807_S1_P5_B4_annotations_corrected.Actn2_cell2.jpg,,
190,3,5500000013_63X_20190807_S1_P5_B4_annotations_corrected.Actn2_cell3.jpg,,
191,4,5500000013_63X_20190807_S1_P5_B4_annotations_corrected.Actn2_cell4.jpg,,
192,5,5500000013_63X_20190807_S1_P5_B4_annotations_corrected.Actn2_cell5.jpg,,
193,6,5500000013_63X_20190807_S1_P5_B4_annotations_corrected.Actn2_cell6.jpg,,
194,1,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell1.jpg,,
195,2,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell2.jpg,,
196,3,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell3.jpg,,
197,4,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell4.jpg,,
198,5,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell5.jpg,,
199,6,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell6.jpg,,
200,7,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell7.jpg,,
201,8,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell8.jpg,,
202,9,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell9.jpg,,
203,10,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell10.jpg,,
204,11,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell11.jpg,,
205,12,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell12.jpg,,
206,13,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell13.jpg,,
207,14,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell14.jpg,,
208,15,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell15.jpg,,
209,16,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell16.jpg,,
210,17,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell17.jpg,,
211,18,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell18.jpg,,
212,19,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell19.jpg,,
213,1,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell1.jpg,,
214,2,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell2.jpg,,
215,3,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell3.jpg,,
216,4,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell4.jpg,,
217,5,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell5.jpg,,
218,6,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell6.jpg,,
219,7,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell7.jpg,,
220,8,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell8.jpg,,
221,9,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell9.jpg,,
222,10,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell10.jpg,,
223,11,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell11.jpg,,
224,1,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell1.jpg,n,2
225,2,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell2.jpg,n,2
226,3,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell3.jpg,n,2
227,4,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell4.jpg,0,2
228,5,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell5.jpg,0,2
229,6,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell6.jpg,n,2
230,7,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell7.jpg,0,2
231,8,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell8.jpg,0,2
232,9,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell9.jpg,n,n
233,10,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell10.jpg,0,0
